ID,Description,Entry_ID,Spacy
Irrlicht-1,Irrlicht,5625-liderc,Irrlicht
Alpdrucken-1,Alpdrücken,5625-liderc,
Menschpejor-1,Mensch 〈pejor〉,5625-liderc,Mensch pejor
schwachliches-1,schwächliches,5625-liderc,
lastigesKind-1,lästiges Kind,5625-liderc,lästiges Kind
imWachstumzuruckgebliebenesHuhnchen-1,im Wachstum zurückgebliebenes Hühnchen,5625-liderc,im Wachstum zurückgebliebenes Hühnchen
Lieferant-1,Lieferant,5626-liferans,Lieferant
Handlungsreisender-1,Handlungsreisender,5626-liferans,
Handlungsreisender-2,Handlungsreisender,9898-vigec,
Fahrstuhl-1,Fahrstuhl,5627-lift,Fahrstuhl
Legierung-1,Legierung,5628-liga,Legierung
Liga-1,Liga,5628-liga,Liga
SpielodSonderklasseSport-1,Spiel- od Sonderklasse 〈Sport〉,5628-liga,Spiel od Sonderklasse Sport
Auwald-1,Auwald,5629-lt,Auwald
Park-1,Park,5629-lt,Park
Park-2,Park,6936-park,Park
GartenObstkulturusw-1,Garten 〈Obstkultur usw〉,5629-lt,Garten Obstkultur usw
Lignit-1,Lignit,5630-lignit,
keuchen-1,keuchen,5631-liheg,keuchen
keuchen-2,keuchen,5675-lohol,keuchen
keuchen-3,keuchen,6876-pahog,keuchen
keuchen-4,keuchen,7143-pih,keuchen
keuchen-5,keuchen,7146-pihen,keuchen
keuchen-6,keuchen,8076-si,keuchen
keuchen-7,keuchen,8478-suvolt,keuchen
keuchen-8,keuchen,10053-zihal,keuchen
keuchen-9,keuchen,10082-zug,keuchen
Likor-1,Likör,5632-likor,Likör
ausgleichen-1,ausgleichen,5634-likvidal,ausgleichen
wettmachen-1,wettmachen,5634-likvidal,wettmachen
auflosenGeschaft-1,auflösen 〈Geschäft〉,5634-likvidal,auflösen Geschäft
toten-1,töten,5634-likvidal,töten
toten-2,töten,6569-ol,töten
hinrichten-1,hinrichten,5634-likvidal,hinrichten
hinrichten-2,hinrichten,8514-szakaszt,hinrichten
lila-1,lila,5635-lila,lila
RegenpfeiferVogel-1,Regenpfeifer 〈Vogel〉,5636-lile,Regenpfeifer Vogel
Entenkuken-1,Entenküken,5636-lile,Entenküken
